Date,LME_Nickel_Spot,USD_Index,Oil_Price,PMI_Index
31-12-2000,8600,101.7,28.85,52.0
31-12-2001,6000,107.9,24.71,43.0
31-12-2002,6950,106.2,25.12,51.0
31-12-2003,9500,93.2,28.78,52.0
31-12-2004,13800,85.5,38.23,60.0
31-12-2005,14600,83.9,54.68,53.0
31-12-2006,24300,82.6,65.6,53.0
31-12-2007,37200,78.0,72.65,52.0
31-12-2008,21100,74.5,97.33,49.0
31-12-2009,14800,77.7,61.58,45.0
31-12-2010,21500,75.3,79.81,57.0
31-12-2011,22800,70.9,111.54,53.0
31-12-2012,17500,73.6,112.01,51.0
31-12-2013,15000,75.9,108.96,53.0
31-12-2014,16800,78.4,99.35,55.0
31-12-2015,11100,90.9,53.02,51.0
31-12-2016,9600,91.6,45.08,51.0
31-12-2017,10400,91.1,54.89,57.0
31-12-2018,13300,89.0,71.61,58.0
31-12-2019,13900,92.0,64.2,51.0
31-12-2020,13790,92.2,43.33,52.0
31-12-2021,18467,88.3,70.83,60.7
31-12-2022,25867,97.3,98.99,52.0
31-12-2023,21529,97.5,82.32,47.0
31-12-2024,16000,98.0,77.0,50.5
31-03-2025,16000,98.0,77.0,50.5
